"TimeRun1","Run1","Run2","Run3"
0.000,-0.21,-0.22,-0.23
0.050,-0.21,-0.21,-0.22
0.100,-0.20,-0.21,-0.22
0.150,-0.20,-0.22,-0.22
0.200,-0.21,-0.23,-0.22
0.250,-0.21,-0.22,-0.23
0.300,-0.21,-0.21,-0.23
0.350,-0.21,-0.22,-0.22
0.400,-0.21,-0.24,-0.22
0.450,-0.21,-0.23,-0.22
0.500,-0.21,-0.23,-0.22
0.550,-0.20,-0.24,-0.22
0.600,-0.21,-0.24,-0.22
0.650,-0.20,-0.24,-0.22
0.700,-0.22,-0.22,-0.23
0.750,-0.20,-0.22,-0.22
0.800,-0.20,-0.23,-0.22
0.850,-0.20,-0.22,-0.21
0.900,-0.20,-0.22,-0.21
0.950,-0.21,-0.22,-0.21
1.000,-0.21,-0.22,-0.22
1.050,-0.21,-0.21,-0.22
1.100,-0.21,-0.22,-0.23
1.150,-0.20,-0.22,-0.22
1.200,-0.21,-0.22,-0.23
1.250,-0.20,-0.22,-0.23
1.300,-0.21,-0.22,-0.23
1.350,-0.22,-0.21,-0.23
1.400,-0.22,-0.22,-0.24
1.450,-0.22,-0.23,-0.23
1.500,-0.22,-0.22,-0.23
1.550,-0.23,-0.22,-0.23
1.600,-0.22,-0.22,-0.24
1.650,-0.22,-0.23,-0.23
1.700,-0.23,-0.21,-0.23
1.750,-0.23,-0.21,-0.23
1.800,-0.23,-0.22,-0.23
1.850,-0.22,-0.22,-0.23
1.900,-0.23,-0.23,-0.24
1.950,-0.22,-0.23,-0.22
2.000,-0.22,-0.23,-0.23
2.050,-0.21,-0.21,-0.23
2.100,-0.21,-0.23,-0.23
2.150,-0.21,-0.23,-0.23
2.200,-0.22,-0.23,-0.23
2.250,-0.21,-0.22,-0.23
2.300,-0.22,-0.22,-0.23
2.350,-0.20,-0.24,-0.23
2.400,-0.21,-0.24,-0.22
2.450,-0.20,-0.23,-0.23
2.500,-0.21,-0.23,-0.23
2.550,-0.20,-0.23,-0.22
2.600,-0.20,-0.23,-0.21
2.650,-0.20,-0.23,-0.22
2.700,-0.22,-0.24,-0.22
2.750,-0.21,-0.23,-0.21
2.800,-0.21,-0.23,-0.22
2.850,-0.21,-0.24,-0.22
2.900,-0.21,-0.23,-0.23
2.950,-0.21,-0.22,-0.22
3.000,-0.21,-0.22,-0.22
3.050,-0.20,-0.22,-0.23
