"TimeRun1","Run1","Run2","Run3"
0.000,0.13,0.12,0.11
0.050,0.14,0.11,0.09
0.100,0.14,0.11,0.10
0.150,0.14,0.11,0.11
0.200,0.13,0.10,0.10
0.250,0.13,0.10,0.10
0.300,0.13,0.10,0.10
0.350,0.15,0.11,0.10
0.400,0.14,0.11,0.10
0.450,0.13,0.10,0.11
0.500,0.13,0.10,0.11
0.550,0.14,0.11,0.10
0.600,0.13,0.11,0.10
0.650,0.14,0.11,0.11
0.700,0.13,0.11,0.11
0.750,0.14,0.11,0.11
0.800,0.13,0.10,0.10
0.850,0.12,0.12,0.11
0.900,0.12,0.11,0.11
0.950,0.13,0.11,0.11
1.000,0.12,0.11,0.10
1.050,0.12,0.11,0.11
1.100,0.12,0.11,0.10
1.150,0.13,0.10,0.11
1.200,0.13,0.12,0.10
1.250,0.13,0.12,0.10
1.300,0.12,0.11,0.10
1.350,0.13,0.11,0.11
1.400,0.13,0.11,0.12
1.450,0.11,0.11,0.11
1.500,0.13,0.10,0.11
1.550,0.14,0.10,0.12
1.600,0.12,0.10,0.10
1.650,0.12,0.11,0.11
1.700,0.12,0.11,0.11
1.750,0.12,0.11,0.11
1.800,0.11,0.11,0.10
1.850,0.13,0.11,0.11
1.900,0.12,0.10,0.10
1.950,0.14,0.12,0.11
2.000,0.14,0.10,0.11
2.050,0.15,0.11,0.12
2.100,0.13,0.11,0.10
2.150,0.14,0.12,0.09
2.200,0.14,0.10,0.09
2.250,0.13,0.10,0.10
2.300,0.13,0.10,0.11
2.350,0.13,0.12,0.11
2.400,0.13,0.10,0.10
2.450,0.13,0.10,0.10
2.500,0.14,0.10,0.10
2.550,0.13,0.11,0.10
2.600,0.14,0.10,0.11
2.650,0.14,0.11,0.11
2.700,0.12,0.11,0.11
2.750,0.13,0.11,0.12
2.800,0.13,0.12,0.11
2.850,0.14,0.11,0.10
2.900,0.13,0.11,0.11
2.950,0.14,0.11,0.10
3.000,0.14,0.10,0.10
3.050,0.13,0.11,0.10
3.100,0.14,0.12,0.10
3.150,0.13,0.12,0.10
3.200,0.13,0.12,0.10
3.250,0.12,0.12,0.10
3.300,0.13,0.11,0.10
3.350,0.13,0.12,0.10
3.400,0.13,0.12,0.09
3.450,0.12,0.12,0.10
3.500,0.13,0.12,0.10
3.550,0.13,0.12,0.10
3.600,0.12,0.12,0.10
3.650,0.13,0.12,0.10
3.700,0.13,0.11,0.10
3.750,0.13,0.11,0.11
3.800,0.14,0.12,0.11
3.850,0.14,0.11,0.10
3.900,0.13,0.11,0.10
3.950,0.13,0.12,0.12
4.000,0.13,0.11,0.10
4.050,0.13,0.11,0.12
4.100,0.13,0.11,0.11
4.150,0.13,0.11,0.11
4.200,0.13,0.12,0.11
4.250,0.14,0.11,0.10
4.300,0.14,0.11,0.10
4.350,0.14,0.12,0.11
4.400,0.13,0.11,0.10
4.450,0.13,0.12,0.11
4.500,0.13,0.11,0.09
4.550,0.12,0.12,0.11
4.600,0.14,0.12,0.11
4.650,0.13,0.12,0.12
4.700,0.14,0.12,0.12
4.750,0.12,0.12,0.11
4.800,0.13,0.12,0.10
4.850,0.13,0.12,0.11
4.900,0.13,0.12,0.10
