"TimeRun1","Run1","Run2","Run3"
0.000,0.08,0.08,0.07
0.050,0.09,0.08,0.07
0.100,0.09,0.07,0.07
0.150,0.09,0.06,0.07
0.200,0.09,0.07,0.07
0.250,0.09,0.07,0.08
0.300,0.09,0.08,0.06
0.350,0.08,0.07,0.07
0.400,0.09,0.08,0.07
0.450,0.09,0.08,0.06
0.500,0.09,0.08,0.07
0.550,0.09,0.08,0.07
0.600,0.08,0.08,0.06
0.650,0.08,0.09,0.06
0.700,0.08,0.08,0.06
0.750,0.09,0.08,0.07
0.800,0.09,0.08,0.06
0.850,0.09,0.08,0.06
0.900,0.09,0.06,0.06
0.950,0.08,0.07,0.06
1.000,0.09,0.08,0.06
1.050,0.09,0.08,0.06
1.100,0.09,0.07,0.06
1.150,0.09,0.06,0.07
1.200,0.08,0.07,0.07
1.250,0.08,0.07,0.07
1.300,0.09,0.06,0.07
1.350,0.09,0.08,0.07
1.400,0.08,0.07,0.06
1.450,0.08,0.08,0.07
1.500,0.08,0.08,0.07
1.550,0.09,0.09,0.07
1.600,0.08,0.09,0.07
1.650,0.09,0.08,0.06
1.700,0.09,0.08,0.08
1.750,0.09,0.08,0.07
1.800,0.08,0.07,0.07
1.850,0.09,0.08,0.07
1.900,0.10,0.08,0.06
1.950,0.09,0.09,0.07
2.000,0.09,0.08,0.07
2.050,0.08,0.08,0.07
2.100,0.08,0.08,0.07
2.150,0.08,0.07,0.07
2.200,0.09,0.06,0.06
2.250,0.08,0.09,0.07
2.300,0.08,0.08,0.07
2.350,0.09,0.08,0.07
2.400,0.07,0.08,0.07
2.450,0.09,0.07,0.08
2.500,0.09,0.07,0.07
2.550,0.09,0.09,0.07
2.600,0.09,0.07,0.06
2.650,0.09,0.08,0.06
2.700,0.08,0.07,0.06
2.750,0.09,0.08,0.06
2.800,0.08,0.08,0.07
2.850,0.09,0.07,0.06
2.900,0.09,0.07,0.06
2.950,0.09,0.07,0.08
3.000,0.09,0.06,0.06
3.050,0.09,0.07,0.07
3.100,0.09,0.07,0.07
3.150,0.09,0.07,0.06
3.200,0.09,0.07,0.07
3.250,0.09,0.07,0.07
3.300,0.09,0.08,0.07
