"TimeRun1","Run1","Run2","Run3","Run4"
0.000,0.14,0.18,0.16,0.13
0.050,0.15,0.19,0.16,0.14
0.100,0.14,0.18,0.16,0.14
0.150,0.13,0.17,0.15,0.14
0.200,0.14,0.18,0.16,0.15
0.250,0.14,0.18,0.16,0.15
0.300,0.15,0.18,0.16,0.14
0.350,0.15,0.18,0.16,0.14
0.400,0.14,0.18,0.16,0.13
0.450,0.13,0.19,0.15,0.13
0.500,0.13,0.18,0.16,0.15
0.550,0.14,0.18,0.17,0.14
0.600,0.14,0.18,0.17,0.13
0.650,0.14,0.18,0.16,0.14
0.700,0.14,0.18,0.16,0.14
0.750,0.13,0.18,0.15,0.14
0.800,0.14,0.18,0.16,0.13
0.850,0.14,0.19,0.15,0.14
0.900,0.14,0.18,0.15,0.13
0.950,0.14,0.19,0.15,0.13
1.000,0.13,0.18,0.15,0.13
1.050,0.13,0.18,0.16,0.13
1.100,0.13,0.17,0.14,0.12
1.150,0.13,0.17,0.15,0.14
1.200,0.14,0.17,0.14,0.12
1.250,0.12,0.17,0.14,0.12
1.300,0.13,0.18,0.15,0.13
1.350,0.14,0.18,0.16,0.13
1.400,0.13,0.17,0.15,0.13
1.450,0.14,0.17,0.15,0.14
1.500,0.13,0.18,0.16,0.14
1.550,0.14,0.18,0.15,0.14
1.600,0.14,0.16,0.15,0.14
1.650,0.14,0.16,0.16,0.14
1.700,0.12,0.17,0.15,0.13
1.750,0.13,0.17,0.15,0.13
1.800,0.14,0.17,0.14,0.13
1.850,0.15,0.17,0.15,0.13
1.900,0.14,0.17,0.14,0.13
1.950,0.14,0.18,0.15,0.13
2.000,0.13,0.17,0.14,0.13
2.050,0.13,0.17,0.15,0.12
2.100,0.13,0.18,0.14,0.13
2.150,0.14,0.18,0.15,0.14
2.200,0.14,0.17,0.16,0.13
2.250,0.12,0.17,0.15,0.14
2.300,0.13,0.18,0.15,0.14
2.350,0.13,0.18,0.15,0.15
2.400,0.14,0.17,0.14,0.13
2.450,0.13,0.18,0.15,0.15
2.500,0.13,0.18,0.15,0.13
2.550,0.14,0.17,0.16,0.14
2.600,0.14,0.15,0.15,0.13
2.650,0.14,0.17,0.16,0.13
2.700,0.12,0.17,0.15,0.13
2.750,0.13,0.17,0.15,0.13
2.800,0.13,0.18,0.16,0.14
2.850,0.13,0.18,0.15,0.14
2.900,0.14,0.18,0.15,0.13
2.950,0.13,0.17,0.14,0.13
3.000,0.13,0.16,0.15,0.14
3.050,0.14,0.18,0.15,0.14
3.100,0.13,0.18,0.15,0.14
3.150,0.13,0.17,0.16,0.13
3.200,0.13,0.18,0.15,0.14
3.250,0.13,0.18,0.17,0.14
3.300,0.14,0.18,0.16,0.15
3.350,0.14,0.18,0.16,0.14
3.400,0.13,0.18,0.16,0.14
3.450,0.14,0.18,0.15,0.15
3.500,0.13,0.17,0.14,0.15
3.550,0.13,0.17,0.14,0.15
3.600,0.13,0.17,0.14,0.15
3.650,0.13,0.18,0.15,0.15
3.700,0.13,0.17,0.14,0.14
3.750,0.13,0.17,0.15,0.15
3.800,0.13,0.17,0.14,0.13
3.850,0.13,0.17,0.16,0.14
3.900,0.14,0.18,0.15,0.14
3.950,0.13,0.18,0.15,0.14
4.000,0.14,0.16,0.15,0.14
4.050,0.13,0.17,0.14,0.13
4.100,0.13,0.18,0.14,0.13
4.150,0.14,0.19,0.14,0.13
4.200,0.13,0.18,0.14,0.12
4.250,0.14,0.18,0.14,0.13
4.300,0.13,0.18,0.14,0.13
4.350,0.13,0.17,0.15,0.14
4.400,0.13,0.18,0.15,0.15
4.450,0.13,0.17,0.15,0.14
4.500,0.13,0.17,0.15,0.14
4.550,0.13,0.17,0.15,0.14
4.600,0.13,0.17,0.15,0.13
4.650,0.14,0.17,0.15,0.14
4.700,0.13,0.17,0.15,0.14
4.750,0.13,0.18,0.15,0.13
4.800,0.13,0.18,0.15,0.13
4.850,0.13,0.17,0.15,0.14
4.900,0.13,0.18,0.15,0.13
4.950,0.14,0.18,0.16,0.14
5.000,0.14,0.18,0.17,0.14
5.050,0.13,0.18,0.16,0.13
5.100,0.13,0.18,0.15,0.14
5.150,0.13,0.19,0.15,0.13
5.200,0.13,0.18,0.15,0.14
5.250,0.14,0.18,0.15,0.14
5.300,0.13,0.17,0.15,0.12
5.350,0.13,0.18,0.16,0.13
5.400,0.13,0.17,0.16,0.13
5.450,0.13,0.18,0.15,0.13
5.500,0.13,0.18,0.15,0.13
5.550,0.13,0.17,0.15,0.12
5.600,0.13,0.17,0.15,0.13
5.650,0.12,0.19,0.14,0.13
5.700,0.12,0.18,0.14,0.13
5.750,0.13,0.18,0.15,0.13
5.800,0.13,0.17,0.16,0.13
5.850,0.14,0.18,0.15,0.13
5.900,0.14,0.18,0.15,0.13
5.950,0.14,0.18,0.15,0.12
6.000,0.14,0.19,0.14,0.13
6.050,0.14,0.18,0.15,0.12
6.100,0.14,0.18,0.15,0.12
6.150,0.13,0.18,0.15,0.12
6.200,0.14,0.17,0.15,0.12
6.250,0.13,0.18,0.15,0.12
6.300,0.13,0.17,0.15,0.13
6.350,0.14,0.19,0.15,0.14
6.400,0.14,0.18,0.14,0.14
6.450,0.14,0.18,0.16,0.13
6.500,0.14,0.18,0.14,0.13
6.550,0.13,0.18,0.15,0.13
6.600,0.12,0.18,0.14,0.12
6.650,0.15,0.18,0.15,0.14
6.700,0.13,0.17,0.14,0.14
6.750,0.14,0.18,0.16,0.14
6.800,0.13,0.18,0.15,0.14
6.850,0.13,0.18,0.15,0.15
6.900,0.14,0.18,0.15,0.13
6.950,0.13,0.17,0.15,0.14
7.000,0.14,0.17,0.16,0.14
7.050,0.13,0.18,0.15,0.14
7.100,0.13,0.17,0.15,0.13
7.150,0.13,0.17,0.15,0.13
7.200,0.13,0.18,0.14,0.14
7.250,0.13,0.18,0.15,0.13
7.300,0.15,0.18,0.15,0.13
7.350,0.15,0.18,0.15,0.13
7.400,0.14,0.17,0.15,0.13
7.450,0.15,0.18,0.14,0.13
7.500,0.14,0.18,0.14,0.12
7.550,0.14,0.18,0.15,0.12
7.600,0.15,0.18,0.15,0.13
7.650,0.13,0.18,0.15,0.12
7.700,0.14,0.18,0.15,0.13
7.750,0.14,0.18,0.16,0.13
7.800,0.13,0.17,0.14,0.13
7.850,0.13,0.17,0.16,0.13
7.900,0.13,0.18,0.16,0.14
7.950,0.13,0.17,0.16,0.13
8.000,0.14,0.17,0.15,0.13
8.050,0.14,0.17,0.16,0.13
8.100,0.14,0.17,0.15,0.13
8.150,0.15,0.18,0.15,0.14
8.200,0.14,0.18,0.15,0.14
8.250,0.14,0.17,0.15,0.13
8.300,0.13,0.18,0.15,0.13
8.350,0.14,0.18,0.15,0.14
8.400,0.14,0.18,0.16,0.13
8.450,0.14,0.18,0.16,0.14
8.500,0.14,0.18,0.14,0.13
8.550,0.14,0.19,0.15,0.14
8.600,0.14,0.18,0.15,0.15
8.650,0.14,0.18,0.14,0.15
8.700,0.14,0.18,0.14,0.14
8.750,0.13,0.18,0.16,0.14
8.800,0.14,0.17,0.15,0.14
8.850,0.14,0.17,0.14,0.14
8.900,0.13,0.18,0.15,0.13
8.950,0.14,0.18,0.15,0.14
9.000,0.14,0.18,0.15,0.14
9.050,0.13,0.18,0.15,0.14
9.100,0.14,0.17,0.15,0.14
