"Time (s) Run #1","Force (N) Run #1"
0.000,0.09
0.050,0.09
0.100,0.09
0.150,0.09
0.200,0.09
0.250,0.10
0.300,0.09
0.350,0.08
0.400,0.10
0.450,0.11
0.500,0.10
0.550,0.09
0.600,0.09
0.650,0.10
0.700,0.09
0.750,0.10
0.800,0.09
0.850,0.08
0.900,0.09
0.950,0.09
1.000,0.09
1.050,0.11
1.100,0.10
1.150,0.11
1.200,0.10
1.250,0.09
1.300,0.09
1.350,0.09
1.400,0.08
1.450,0.08
1.500,0.09
1.550,0.09
1.600,0.09
1.650,0.09
1.700,0.08
1.750,0.09
1.800,0.09
1.850,0.08
1.900,0.08
1.950,0.07
2.000,0.09
2.050,0.09
2.100,0.09
2.150,0.08
2.200,0.08
2.250,0.10
2.300,0.09
2.350,0.08
2.400,0.08
2.450,0.09
2.500,0.09
2.550,0.09
2.600,0.08
2.650,0.09
2.700,0.09
2.750,0.08
2.800,0.08
2.850,0.08
2.900,0.09
2.950,0.09
3.000,0.09
3.050,0.09
3.100,0.09
3.150,0.09
3.200,0.09
3.250,0.09
3.300,0.09
3.350,0.09
3.400,0.09
3.450,0.09
3.500,0.09
3.550,0.09
3.600,0.09
3.650,0.09
3.700,0.08
3.750,0.08
3.800,0.09
3.850,0.09
3.900,0.08
3.950,0.09
4.000,0.09
4.050,0.09
4.100,0.09
4.150,0.09
4.200,0.09
4.250,0.10
4.300,0.09
4.350,0.09
4.400,0.09
4.450,0.10
4.500,0.09
4.550,0.08
4.600,0.08
4.650,0.08
4.700,0.09
4.750,0.08
4.800,0.08
4.850,0.09
4.900,0.09
4.950,0.08
5.000,0.09
5.050,0.08
5.100,0.07
5.150,0.09
5.200,0.08
5.250,0.09
5.300,0.09
5.350,0.08
5.400,0.09
5.450,0.09
5.500,0.07
5.550,0.08
5.600,0.08
5.650,0.08
5.700,0.08
5.750,0.09
5.800,0.09
5.850,0.09
5.900,0.09
5.950,0.08
6.000,0.09
6.050,0.09
6.100,0.09
6.150,0.10
6.200,0.10
6.250,0.09
6.300,0.09
6.350,0.09
6.400,0.08
6.450,0.09
6.500,0.09
6.550,0.09
6.600,0.09
6.650,0.09
6.700,0.10
6.750,0.09
6.800,0.09
6.850,0.09
6.900,0.09
6.950,0.08
7.000,0.09
7.050,0.09
7.100,0.09
7.150,0.09
7.200,0.09
7.250,0.09
7.300,0.09
7.350,0.08
7.400,0.09
7.450,0.09
7.500,0.08
7.550,0.09
7.600,0.07
7.650,0.09
7.700,0.08
7.750,0.10
7.800,0.09
7.850,0.08
7.900,0.08
7.950,0.07
8.000,0.08
8.050,0.09
8.100,0.08
8.150,0.09
8.200,0.09
8.250,0.08
8.300,0.08
8.350,0.08
8.400,0.08
8.450,0.08
8.500,0.09
8.550,0.09
8.600,0.09
8.650,0.09
8.700,0.08
8.750,0.09
8.800,0.09
8.850,0.09
8.900,0.09
8.950,0.09
9.000,0.08
9.050,0.08
9.100,0.08
9.150,0.09
9.200,0.09
9.250,0.09
9.300,0.08
9.350,0.08
9.400,0.08
9.450,0.09
9.500,0.09
9.550,0.08
9.600,0.08
9.650,0.08
9.700,0.08
9.750,0.08
9.800,0.08
9.850,0.08
9.900,0.06
9.950,0.08
10.000,0.09
10.050,0.08
10.100,0.08
10.150,0.09
10.200,0.09
10.250,0.09
10.300,0.09
10.350,0.09
10.400,0.08
10.450,0.09
10.500,0.09
10.550,0.09
10.600,0.08
10.650,0.09
10.700,0.09
10.750,0.09
10.800,0.09
10.850,0.09
10.900,0.08
10.950,0.09
11.000,0.09
11.050,0.09
11.100,0.09
11.150,0.09
11.200,0.09
11.250,0.09
11.300,0.09
11.350,0.10
11.400,0.08
11.450,0.08
11.500,0.07
11.550,0.09
11.600,0.09
11.650,0.08
11.700,0.07
11.750,0.09
11.800,0.08
11.850,0.09
11.900,0.09
11.950,0.09
12.000,0.09
12.050,0.09
12.100,0.08
12.150,0.09
